"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"VENDELSÖ SÅGEN",202236,7709,3066,0.397716954209366,1101,0.142820080425477,179,0.0232196134388377,288,0.0373589311194708,858,0.111298482293423,9,0.00116746659748346,0,0,35,0.00454014787910235,389,0.0504605007134518,76,0.00985860682319367,14,0.00181605915164094,117,0.015177065767285,3003,0.389544688026981,550,0.0713451809573226,63,0.00817226618238423,104,0.0134907251264755,934,0.121157089116617,116,0.0150473472564535,202,0.0262031391879621,86,0.0111557919315086,266,0.0345051238811778,592,0.0767933584122454,9,0.00116746659748346,0,0,0,0,0,0,0,0,151,0.0195874951355558,273,0.0354131534569983,76,0.00985860682319367,14,0.00181605915164094,43,0.00557789596575431,74,0.00959916980153068,3003,0.389544688026981,528,0.0684913737190297,934,0.121157089116617,991,0.128551044234012,0,0
"VENDELSÖ SÅGEN",202233,8306,2009,0.24187334457019,350,0.0421382133397544,326,0.0392487358535998,33,0.00397303154346256,951,0.114495545388876,10,0.00120394895256441,0,0,2,0.000240789790512882,125,0.0150493619070551,91,0.0109559354683361,6,0.000722369371538647,115,0.0138454129544907,1727,0.207921984107874,428,0.0515290151697568,282,0.0339513604623164,7,0.000842764266795088,61,0.00734408861064291,44,0.00529737539128341,0,0,33,0.00397303154346256,286,0.0344329400433422,665,0.0800626053455333,10,0.00120394895256441,0,0,0,0,0,0,0,0,14,0.00168552853359018,113,0.0136046231639778,91,0.0109559354683361,6,0.000722369371538647,56,0.0067421141343607,59,0.00710329882013003,1727,0.207921984107874,134,0.0161329159643631,61,0.00734408861064291,1104,0.132915964363111,0,0
"VENDELSÖ SÅGEN",202232,8011,1272,0.158781675196605,175,0.0218449631756335,130,0.0162276869304706,39,0.00486830607914118,582,0.0726501061041069,0,0,0,0,0,0,195,0.0243415303957059,39,0.00486830607914118,11,0.00137311197103982,101,0.0126076644613656,1166,0.145549868930221,226,0.0282112095868181,106,0.0132318062663837,6,0.00074897016602172,63,0.00786418674322806,24,0.00299588066408688,0,0,39,0.00486830607914118,248,0.0309574335288978,334,0.0416926725752091,0,0,0,0,0,0,0,0,0,0,6,0.00074897016602172,189,0.0235925602296842,39,0.00486830607914118,11,0.00137311197103982,44,0.00549244788415928,57,0.00711521657720634,1166,0.145549868930221,201,0.0250905005617276,63,0.00786418674322806,676,0.0843839720384471,0,0
"VENDELSÖ SÅGEN",202231,7099,1354,0.190731088885759,334,0.0470488801239611,277,0.0390195802225666,33,0.0046485420481758,499,0.0702915903648401,0,0,0,0,0,0,64,0.00901535427525004,37,0.00521200169037893,5,0.000704324552753909,105,0.0147908156078321,1098,0.154669671784758,364,0.0512748274404846,256,0.0360614171010001,5,0.000704324552753909,73,0.0102831384702071,21,0.00295816312156642,0,0,33,0.0046485420481758,373,0.0525426116354416,126,0.0177489787293985,0,0,0,0,0,0,0,0,0,0,29,0.00408508240597267,35,0.00493027186927736,37,0.00521200169037893,5,0.000704324552753909,51,0.00718411043808987,54,0.00760670516974222,1098,0.154669671784758,69,0.00971967882800394,73,0.0102831384702071,592,0.0833920270460628,0,0
"VENDELSÖ SÅGEN",202230,6542,1078,0.164781412412106,102,0.0155915622133904,83,0.0126872516050138,24,0.00366860287373892,531,0.0811678385814736,0,0,0,0,4,0.00061143381228982,192,0.0293488229899113,38,0.00580862121675329,7,0.00107000917150718,97,0.0148272699480281,1034,0.158055640476918,155,0.0236930602262305,44,0.00672577193518802,5,0.000764292265362275,53,0.00810149801284011,39,0.00596147966982574,0,0,24,0.00366860287373892,449,0.0686334454295323,82,0.0125343931519413,0,0,0,0,0,0,0,0,0,0,26,0.00397431977988383,170,0.0259859370223173,38,0.00580862121675329,7,0.00107000917150718,49,0.00749006420055029,48,0.00733720574747784,1034,0.158055640476918,201,0.0307245490675634,53,0.00810149801284011,625,0.0955365331702843,0,0
"VENDELSÖ SÅGEN",202229,6718,951,0.141559988091694,93,0.0138434057755284,90,0.0133968442988985,22,0.00327478416195296,556,0.082762727002084,0,0,0,0,2,0.000297707651086633,54,0.00803810657933909,39,0.00580529919618934,4,0.000595415302173266,91,0.0135456981244418,914,0.136052396546591,171,0.0254540041679071,37,0.00550759154510271,7,0.00104197677880322,49,0.00729383745162251,53,0.00788925275379577,0,0,22,0.00327478416195296,488,0.0726406668651384,68,0.0101220601369455,0,0,0,0,0,0,0,0,0,0,20,0.00297707651086633,36,0.00535873771955939,39,0.00580529919618934,4,0.000595415302173266,32,0.00476332241738613,59,0.00878237570705567,914,0.136052396546591,63,0.00937779100922894,49,0.00729383745162251,631,0.0939267639178327,0,0
"VENDELSÖ SÅGEN",202228,6703,892,0.133074742652544,117,0.0174548709533045,28,0.00417723407429509,62,0.00924958973593913,470,0.0701178576756676,0,0,0,0,2,0.000298373862449649,63,0.00939877666716396,38,0.00566910338654334,11,0.00164105624347307,101,0.0150678800537073,864,0.128897508578249,150,0.0223780396837237,28,0.00417723407429509,3,0.000447560793674474,86,0.0128300760853349,0,0,0,0,62,0.00924958973593913,288,0.0429658361927495,182,0.0271520214829181,0,0,0,0,0,0,0,0,0,0,13,0.00193943010592272,52,0.00775772042369088,38,0.00566910338654334,11,0.00164105624347307,41,0.00611666418021781,60,0.00895121587348948,864,0.128897508578249,68,0.0101447113232881,86,0.0128300760853349,560,0.0835446814859018,0,0
"VENDELSÖ SÅGEN",202227,6937,1186,0.170967276920859,113,0.0162894623035894,52,0.00749603575032435,35,0.00504540867810293,735,0.105953582240161,0,0,0,0,2,0.000288309067320167,67,0.0096583537552256,63,0.00908173562058527,5,0.000720772668300418,114,0.0164336168372495,1162,0.167507568113017,136,0.0196050165777714,24,0.00345970880784201,8,0.00115323626928067,81,0.0116765172264668,28,0.00403632694248234,1,0.000144154533660084,34,0.00490125414444284,137,0.0197491711114315,598,0.08620441112873,0,0,0,0,0,0,0,0,0,0,17,0.00245062707222142,52,0.00749603575032435,63,0.00908173562058527,5,0.000720772668300418,65,0.00937004468790543,49,0.0070635721493441,1162,0.167507568113017,77,0.0110998990918264,81,0.0116765172264668,868,0.125126135216953,0,0
"VENDELSÖ SÅGEN",202226,7690,2111,0.274512353706112,410,0.0533159947984395,169,0.0219765929778934,93,0.0120936280884265,1145,0.14889466840052,0,0,0,0,2,0.000260078023407022,157,0.0204161248374512,49,0.00637191157347204,0,0,86,0.011183355006502,2054,0.267100130039012,319,0.04148244473342,57,0.00741222366710013,7,0.000910273081924577,346,0.0449934980494148,112,0.0145643693107932,62,0.00806241872561769,31,0.00403120936280884,214,0.0278283485045514,931,0.121066319895969,0,0,0,0,0,0,0,0,0,0,12,0.00156046814044213,147,0.0191157347204161,49,0.00637191157347204,0,0,29,0.00377113133940182,57,0.00741222366710013,2054,0.267100130039012,166,0.0215864759427828,346,0.0449934980494148,1223,0.159037711313394,0,0
"VENDELSÖ SÅGEN",202225,7616,1551,0.203650210084034,266,0.0349264705882353,210,0.0275735294117647,35,0.00459558823529412,664,0.0871848739495798,17,0.00223214285714286,0,0,2,0.000262605042016807,221,0.0290178571428571,37,0.00485819327731092,9,0.00118172268907563,90,0.0118172268907563,1348,0.176995798319328,314,0.0412289915966387,203,0.0266544117647059,5,0.000656512605042017,58,0.00761554621848739,7,0.000919117647058824,0,0,35,0.00459558823529412,121,0.0158876050420168,543,0.071297268907563,17,0.00223214285714286,0,0,0,0,0,0,0,0,9,0.00118172268907563,214,0.0280987394957983,37,0.00485819327731092,9,0.00118172268907563,38,0.00498949579831933,52,0.00682773109243697,1348,0.176995798319328,228,0.029936974789916,58,0.00761554621848739,748,0.0982142857142857,0,0
