"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_OBS_snabbnudlar_Trianglen","kampanj_convrate_OBS_snabbnudlar_Trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_Veckans_klipp","skylttyp_convrate_Veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris"
"VENDELSÖ SÅGEN",202239,2022-10-02,999,601.119,0.601720720720721,422.615,0.423038038038038,106.504,0.106610610610611,1,0.001001001001001,34,0.034034034034034,0,0,0,0,1,0.001001001001001,15,0.015015015015015,0,0,19,0.019019019019019,2,0.002002002002002,494.615,0.49511011011011,145.615,0.145760760760761,106.504,0.106610610610611,35.111,0.0351461461461461,281,0.281281281281281,0,0,1,0.001001001001001,23,0.023023023023023,11,0.011011011011011,0,0,0,0,0,0,0,0,0,0,1,0.001001001001001,14,0.014014014014014,1,0.001001001001001,0,0,13,0.013013013013013,6,0.00600600600600601,2,0.002002002002002,0,0,494.615,0.49511011011011,281,0.281281281281281,54,0.0540540540540541,0,0,14,0.014014014014014
"VENDELSÖ SÅGEN",202239,2022-10-01,1120,745.461,0.665590178571429,604.359,0.53960625,65.102,0.0581267857142857,13,0.0116071428571429,35,0.03125,0,0,0,0,2,0.00178571428571429,6,0.00535714285714286,0,0,9,0.00803571428571428,11,0.00982142857142857,680.359,0.607463392857143,103.359,0.0922848214285714,65.102,0.0581267857142857,12.257,0.01094375,527,0.470535714285714,0,0,13,0.0116071428571429,23,0.0205357142857143,12,0.0107142857142857,0,0,0,0,0,0,0,0,0,0,2,0.00178571428571429,4,0.00357142857142857,2,0.00178571428571429,0,0,9,0.00803571428571428,0,0,9,0.00803571428571428,2,0.00178571428571429,680.359,0.607463392857143,527,0.470535714285714,46,0.0410714285714286,0,0,4,0.00357142857142857
"VENDELSÖ SÅGEN",202239,2022-09-30,1211,811.171,0.669835672997523,641.255,0.529525185796862,88.916,0.0734236168455822,0,0,25,0.0206440957886045,0,0,0,0,0,0,10,0.00825763831544178,0,0,18,0.0148637489677952,28,0.023121387283237,727.419,0.600676300578035,131.419,0.108521056977704,83.752,0.069159372419488,14.503,0.0119760528488852,543,0.448389760528489,5.164,0.00426424442609414,0,0,3,0.00247729149463253,22,0.0181668042939719,0,0,0,0,0,0,0,0,0,0,0,0,8,0.00660611065235343,2,0.00165152766308836,0,0,15,0.0123864574731627,3,0.00247729149463253,22,0.0181668042939719,6,0.00495458298926507,727.419,0.600676300578035,543,0.448389760528489,45,0.037159372419488,0,0,8,0.00660611065235343
"VENDELSÖ SÅGEN",202239,2022-09-29,998,579.542,0.580703406813627,404.796,0.405607214428858,94.746,0.094935871743487,17,0.0170340681362725,32,0.032064128256513,0,0,0,0,0,0,11,0.0110220440881764,0,0,11,0.0110220440881764,9,0.00901803607214429,484.968,0.485939879759519,136.968,0.13724248496994,94.574,0.0947635270541082,16.222,0.0162545090180361,294,0.294589178356713,0.172,0.000172344689378758,17,0.0170340681362725,21,0.0210420841683367,11,0.0110220440881764,0,0,0,0,0,0,0,0,0,0,0,0,8,0.00801603206412826,3,0.0030060120240481,0,0,11,0.0110220440881764,0,0,6,0.00601202404809619,3,0.0030060120240481,484.968,0.485939879759519,294,0.294589178356713,46,0.0460921843687375,0,0,8,0.00801603206412826
"VENDELSÖ SÅGEN",202239,2022-09-28,963,568.744,0.590596053997923,421.614,0.43781308411215,70.13,0.0728245067497404,17,0.0176531671858775,6,0.00623052959501558,0,0,0,0,1,0.00103842159916926,17,0.0176531671858775,0,0,24,0.0249221183800623,12,0.0124610591900312,500.306,0.519528556593977,108.306,0.112467289719626,68.438,0.071067497403946,8.176,0.00849013499480789,345,0.358255451713396,1.692,0.00175700934579439,17,0.0176531671858775,3,0.00311526479750779,3,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,1,0.00103842159916926,14,0.0145379023883697,3,0.00311526479750779,0,0,20,0.0207684319833853,4,0.00415368639667705,4,0.00415368639667705,8,0.0083073727933541,500.306,0.519528556593977,345,0.358255451713396,33,0.0342679127725857,0,0,14,0.0145379023883697
"VENDELSÖ SÅGEN",202239,2022-09-27,1011,752.378,0.744191889218595,573.588,0.567347181008902,82.79,0.08188921859545,19,0.0187932739861523,34,0.0336300692383778,0,0,0,0,0,0,27,0.0267062314540059,0,0,9,0.00890207715133531,7,0.00692383778437191,672,0.664688427299703,120,0.118694362017804,80.378,0.0795034619188922,11.21,0.0110880316518299,482,0.47675568743818,2.412,0.00238575667655786,19,0.0187932739861523,19,0.0187932739861523,15,0.0148367952522255,0,0,0,0,0,0,0,0,0,0,0,0,20,0.019782393669634,7,0.00692383778437191,0,0,6,0.00593471810089021,3,0.0029673590504451,3,0.0029673590504451,4,0.0039564787339268,672,0.664688427299703,482,0.47675568743818,50,0.0494559841740851,0,0,20,0.019782393669634
"VENDELSÖ SÅGEN",202239,2022-09-26,1013,662.171,0.653673247778875,482.259,0.476070088845015,74.912,0.0739506416584403,13,0.0128331688055281,26,0.0256663376110563,0,0,0,0,6,0.00592300098716683,31,0.0306021717670286,0,0,20,0.0197433366238894,9,0.00888450148075025,589.039,0.581479763079961,108.039,0.10665251727542,73.132,0.0721934846989141,5.127,0.00506120434353406,404,0.398815399802567,1.78,0.00175715695952616,13,0.0128331688055281,23,0.0227048371174729,3,0.00296150049358342,0,0,0,0,0,0,0,0,0,0,6,0.00592300098716683,28,0.0276406712734452,3,0.00296150049358342,0,0,18,0.0177690029615005,2,0.00197433366238894,5,0.00493583415597236,4,0.00394866732477789,589.039,0.581479763079961,404,0.398815399802567,49,0.0483711747285291,0,0,28,0.0276406712734452
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,79.784,0.0740798514391829,29.892,0.0277548746518106,6.892,0.00639925719591458,0,0,26,0.0241411327762303,0,0,0,0,1,0.000928505106778087,11,0.010213556174559,0,0,3,0.00278551532033426,2,0.00185701021355617,72.892,0.0676805942432683,9.892,0.00918477251624884,6.892,0.00639925719591458,0,0,23,0.021355617455896,0,0,0,0,21,0.0194986072423398,5,0.00464252553389044,0,0,0,0,0,0,0,0,0,0,1,0.000928505106778087,8,0.0074280408542247,3,0.00278551532033426,0,0,1,0.000928505106778087,2,0.00185701021355617,2,0.00185701021355617,0,0,72.892,0.0676805942432683,23,0.021355617455896,32,0.0297121634168988,0,0,8,0.0074280408542247
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,85.44,0.0710224438902743,33.22,0.0276142975893599,10.22,0.0084954280964256,0,0,20,0.0166251039068994,0,0,0,0,1,0.000831255195344971,9,0.00748129675810474,0,0,7,0.0058187863674148,5,0.00415627597672485,75.22,0.0625270157938487,16.22,0.0134829592684954,10.22,0.0084954280964256,0,0,23,0.0191188694929343,0,0,0,0,18,0.0149625935162095,2,0.00166251039068994,0,0,0,0,0,0,0,0,0,0,1,0.000831255195344971,8,0.00665004156275977,1,0.000831255195344971,0,0,5,0.00415627597672485,2,0.00166251039068994,4,0.00332502078137988,1,0.000831255195344971,75.22,0.0625270157938487,23,0.0191188694929343,28,0.0232751454696592,0,0,8,0.00665004156275977
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,109.179,0.0811739776951673,56.755,0.0421970260223048,6.424,0.00477620817843866,0,0,28,0.020817843866171,0,0,0,0,0,0,4,0.00297397769516729,0,0,10,0.00743494423791822,4,0.00297397769516729,102.755,0.0763977695167286,13.755,0.0102267657992565,6.424,0.00477620817843866,3.331,0.00247657992565056,47,0.0349442379182156,0,0,0,0,21,0.0156133828996283,7,0.00520446096654275,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00148698884758364,2,0.00148698884758364,0,0,10,0.00743494423791822,0,0,4,0.00297397769516729,0,0,102.755,0.0763977695167286,47,0.0349442379182156,40,0.0297397769516729,0,0,2,0.00148698884758364
