"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_OBS_endast_trianglen","kampanj_convrate_OBS_endast_trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202240,2022-10-09,1087,782,0.719411223551058,313,0.287948482060718,120,0.110395584176633,19,0.0174793008279669,282,0.259429622815087,0,0,0,0,27,0.0248390064397424,0,0,12,0.0110395584176633,9,0.00827966881324747,750,0.689972401103956,145,0.133394664213431,32,0.0294388224471021,-1,-0.000919963201471941,282,0.259429622815087,88,0.0809567617295308,1,0.000919963201471941,18,0.0165593376264949,282,0.259429622815087,0,0,0,0,0,0,0,0,15,0.0137994480220791,12,0.0110395584176633,0,0,12,0.0110395584176633,0,0,2,0.00183992640294388,7,0.00643974241030359,468,0.430542778288868,29,0.0266789328426863,282,0.259429622815087,0,0,12,0.0110395584176633
"VENDELSÖ SÅGEN",202240,2022-10-08,1148,835,0.727351916376307,341,0.297038327526132,111,0.0966898954703833,18,0.0156794425087108,294,0.25609756097561,0,0,0,0,35,0.0304878048780488,0,0,18,0.0156794425087108,18,0.0156794425087108,800,0.696864111498258,142,0.123693379790941,35,0.0304878048780488,12,0.0104529616724739,294,0.25609756097561,76,0.0662020905923345,1,0.000871080139372822,17,0.014808362369338,294,0.25609756097561,0,0,0,0,0,0,0,0,12,0.0104529616724739,23,0.0200348432055749,0,0,15,0.0130662020905923,3,0.00261324041811847,12,0.0104529616724739,6,0.00522648083623693,506,0.440766550522648,52,0.0452961672473868,294,0.25609756097561,0,0,18,0.0156794425087108
"VENDELSÖ SÅGEN",202240,2022-10-07,1123,683,0.608192341941229,260,0.231522707034728,106,0.0943900267141585,35,0.031166518254675,220,0.195903829029386,0,0,0,0,41,0.0365093499554764,0,0,8,0.00712377560106857,13,0.0115761353517364,651,0.579697239536955,137,0.121994657168299,32,0.0284951024042743,8,0.00712377560106857,220,0.195903829029386,74,0.0658949243098842,1,0.000890471950133571,34,0.0302760463045414,220,0.195903829029386,0,0,0,0,0,0,0,0,17,0.0151380231522707,24,0.0213713268032057,0,0,5,0.00445235975066785,3,0.00267141585040071,4,0.00356188780053428,9,0.00801424755120214,431,0.383793410507569,66,0.0587711487088157,220,0.195903829029386,0,0,8,0.00712377560106857
"VENDELSÖ SÅGEN",202240,2022-10-06,1048,796,0.759541984732824,353,0.336832061068702,86,0.0820610687022901,31,0.0295801526717557,299,0.28530534351145,0,0,4,0.00381679389312977,16,0.0152671755725191,0,0,0,0,7,0.0066793893129771,769,0.733778625954199,104,0.099236641221374,27,0.025763358778626,27,0.025763358778626,299,0.28530534351145,59,0.0562977099236641,4,0.00381679389312977,27,0.025763358778626,299,0.28530534351145,0,0,0,0,0,0,0,0,7,0.0066793893129771,13,0.0124045801526718,0,0,0,0,0,0,5,0.00477099236641221,2,0.00190839694656489,470,0.448473282442748,67,0.0639312977099237,299,0.28530534351145,0,0,0,0
"VENDELSÖ SÅGEN",202240,2022-10-05,981,831,0.847094801223242,357,0.363914373088685,81,0.0825688073394495,29,0.0295616717635066,312,0.318042813455657,0,0,2,0.00203873598369011,28,0.0285423037716616,0,0,7,0.00713557594291539,15,0.0152905198776758,810,0.825688073394495,113,0.115188583078491,21,0.0214067278287462,24,0.0244648318042813,312,0.318042813455657,60,0.0611620795107034,3,0.00305810397553517,26,0.0265035677879715,312,0.318042813455657,0,0,0,0,0,0,0,0,14,0.0142711518858308,16,0.0163098878695209,0,0,6,0.00611620795107034,1,0.00101936799184506,5,0.00509683995922528,10,0.0101936799184506,498,0.507645259938838,66,0.0672782874617737,312,0.318042813455657,0,0,7,0.00713557594291539
"VENDELSÖ SÅGEN",202240,2022-10-04,1135,3723,3.28017621145374,1806,1.59118942731278,100,0.0881057268722467,16,0.0140969162995595,1769,1.55859030837004,0,0,1,0.000881057268722467,17,0.0149779735682819,0,0,12,0.0105726872246696,2,0.00176211453744493,3705,3.26431718061674,112,0.0986784140969163,18,0.0158590308370044,19,0.0167400881057269,1769,1.55859030837004,82,0.0722466960352423,2,0.00176211453744493,14,0.0123348017621145,1769,1.55859030837004,0,0,0,0,0,0,0,0,8,0.00704845814977974,10,0.00881057268722467,0,0,10,0.00881057268722467,2,0.00176211453744493,0,0,2,0.00176211453744493,1936,1.7057268722467,43,0.0378854625550661,1769,1.55859030837004,0,0,12,0.0105726872246696
"VENDELSÖ SÅGEN",202240,2022-10-03,1003,955,0.952143569292124,424,0.422731804586241,84,0.0837487537387837,17,0.0169491525423729,379,0.377866400797607,0,0,5,0.00498504486540379,35,0.0348953140578265,0,0,10,0.00997008973080758,1,0.000997008973080758,940,0.937188434695912,105,0.10468594217348,15,0.0149551345962114,30,0.0299102691924227,379,0.377866400797607,69,0.0687936191425723,3,0.00299102691924227,14,0.0139581256231306,379,0.377866400797607,0,0,0,0,0,0,0,0,17,0.0169491525423729,23,0.0229312063808574,0,0,10,0.00997008973080758,0,0,1,0.000997008973080758,0,0,561,0.559322033898305,67,0.0667996011964108,379,0.377866400797607,0,0,10,0.00997008973080758
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,108,0.100278551532033,36,0.0334261838440111,17,0.0157845868152275,8,0.0074280408542247,23,0.021355617455896,0,0,2,0.00185701021355617,13,0.0120705663881151,0,0,3,0.00278551532033426,6,0.00557103064066852,99,0.0919220055710306,29,0.0269266480965645,9,0.00835654596100279,4,0.00371402042711235,23,0.021355617455896,8,0.0074280408542247,1,0.000928505106778087,7,0.00649953574744661,23,0.021355617455896,0,0,0,0,0,0,0,0,5,0.00464252553389044,10,0.00928505106778087,0,0,1,0.000928505106778087,2,0.00185701021355617,4,0.00371402042711235,2,0.00185701021355617,76,0.0705663881151346,21,0.0194986072423398,23,0.021355617455896,0,0,3,0.00278551532033426
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,143,0.118869492934331,41,0.0340814630091438,20,0.0166251039068994,15,0.0124688279301746,22,0.0182876142975894,0,0,6,0.00498753117206983,17,0.0141313383208645,0,0,7,0.0058187863674148,15,0.0124688279301746,127,0.105569409808811,47,0.0390689941812136,16,0.0133000831255195,3,0.00249376558603491,22,0.0182876142975894,4,0.00332502078137988,3,0.00249376558603491,12,0.00997506234413965,22,0.0182876142975894,0,0,0,0,0,0,0,0,9,0.00748129675810474,14,0.0116375727348296,0,0,5,0.00415627597672485,2,0.00166251039068994,8,0.00665004156275977,7,0.0058187863674148,105,0.0872817955112219,29,0.0241064006650042,22,0.0182876142975894,0,0,7,0.0058187863674148
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,187,0.139033457249071,53,0.0394052044609665,28,0.020817843866171,10,0.00743494423791822,37,0.0275092936802974,0,0,4,0.00297397769516729,30,0.0223048327137546,0,0,10,0.00743494423791822,15,0.0111524163568773,176,0.130855018587361,51,0.0379182156133829,11,0.00817843866171004,5,0.00371747211895911,37,0.0275092936802974,17,0.012639405204461,3,0.00223048327137546,7,0.00520446096654275,37,0.0275092936802974,0,0,0,0,0,0,0,0,5,0.00371747211895911,29,0.0215613382899628,0,0,10,0.00743494423791822,0,0,14,0.0104089219330855,1,0.000743494423791822,139,0.103345724907063,41,0.0304832713754647,37,0.0275092936802974,0,0,10,0.00743494423791822
